#{"t_start": 1628789547.2193913, "env_id": "LunarLander-v2"}
r,l,t
216.812441,267,1321.503626
238.875291,303,1322.26555
-71.391364,329,1323.064889
244.990854,336,1323.835397
218.627464,311,1327.516899
193.540075,385,1328.415548
194.260312,376,1329.464024
179.67498,307,1330.160457
-31.157308,286,1330.820554
234.243185,333,1331.604514
-41.242938,238,1335.108109
-24.6294,221,1335.59033
176.05067,438,1336.808294
-88.052869,304,1337.51063
80.334135,1000,1343.744043
158.980728,355,1344.611637
222.268493,340,1345.501373
142.347374,648,1347.623587
226.236494,306,1348.360798
159.545088,619,1352.925091
-31.518381,280,1353.541473
17.166348,323,1354.295336
-29.288863,273,1354.923918
-112.358446,205,1355.358746
239.507718,327,1356.158534
189.062444,386,1359.984853
-63.646355,304,1360.683774
259.929091,389,1361.648518
-81.843108,203,1362.125479
235.771398,662,1363.878742
226.266721,369,1364.936821
-119.858496,283,1368.476267
186.470225,392,1369.570868
-13.950149,256,1370.130964
243.104881,380,1371.131253
269.112136,406,1372.105119
-2.246141,272,1372.708745
196.081207,330,1376.247711
236.199963,342,1377.118842
264.055142,383,1378.129606
-40.417225,302,1378.864084
-33.913812,319,1379.750863
219.455168,325,1380.632474
179.815682,385,1384.4225
-107.552743,298,1385.105079
-103.753609,293,1385.818331
-22.560655,247,1386.383982
235.89788,415,1387.398229
191.836363,519,1388.802162
202.04328,438,1392.928416
224.539111,466,1394.25906
136.154176,508,1395.755595
136.657103,412,1396.975875
184.450101,361,1400.854125
-45.733068,316,1401.656812
215.536698,425,1402.675664
-60.511441,305,1403.392179
149.891904,516,1404.666246
233.975046,343,1405.626949
158.416191,583,1410.412623
-69.289474,312,1411.147667
-28.927872,339,1411.985862
213.074188,358,1412.949023
201.865726,355,1413.885355
171.863217,464,1418.047065
217.066605,405,1419.237333
214.689026,346,1420.237913
-44.13779,382,1421.322234
-204.296861,326,1422.117591
201.462212,321,1425.920131
253.852381,391,1427.078341
-62.358378,259,1427.686034
216.067212,385,1428.728678
215.451125,313,1429.472613
-42.458089,300,1430.163093
245.401414,349,1431.100323
244.757944,371,1435.030896
-36.598802,441,1436.2513
-55.275384,222,1436.739834
134.869765,455,1437.958378
230.523868,426,1439.205782
-48.100326,306,1442.917758
170.045244,560,1444.38737
160.521665,472,1445.919825
193.466374,419,1447.151132
-108.221419,276,1447.739466
-20.787755,259,1451.288534
182.741355,428,1452.470008
-37.193175,292,1453.1888
178.355999,555,1454.772413
225.104853,434,1456.075402
178.52095,421,1460.35848
221.007675,351,1461.32684
207.219277,326,1462.130768
-5.381261,289,1462.80004
195.214235,322,1463.624984
189.240489,367,1464.580328
170.938167,649,1469.347463
149.347667,538,1470.811256
202.393571,340,1471.681141
-198.390601,468,1472.874115
218.419102,399,1476.859268
233.730532,355,1477.800184
204.932573,505,1479.428058
73.304888,1000,1482.949063
205.904577,388,1486.449755
276.201361,441,1487.634699
149.825319,492,1488.92099
193.594181,339,1489.68762
179.946116,375,1490.603942
-51.19745,340,1493.881607
275.516842,591,1495.526151
205.934816,399,1496.560884
235.982412,376,1497.526532
165.043904,517,1501.813156
227.054508,434,1503.105324
175.145973,419,1504.376372
171.415471,596,1505.968208
203.908215,584,1510.795569
163.500282,544,1512.313721
41.011001,1000,1515.614486
